date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:04	184128/184128	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:06%20GMT	https://demo.tailadmin.com/stocks	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/stocks.html	(from https://demo.tailadmin.com/)
14:38:04	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:06%20GMT	https://demo.tailadmin.com/calendar.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/calendar.html	(from https://demo.tailadmin.com/)
14:38:04	135407/135407	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:06%20GMT	https://demo.tailadmin.com/calendar	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/calendar.html	(from https://demo.tailadmin.com/)
14:38:04	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:06%20GMT	https://demo.tailadmin.com/profile.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/profile.html	(from https://demo.tailadmin.com/)
14:38:05	136111/136111	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:07%20GMT	https://demo.tailadmin.com/profile	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/profile.html	(from https://demo.tailadmin.com/)
14:38:05	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:07%20GMT	https://demo.tailadmin.com/task-list.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/task-list.html	(from https://demo.tailadmin.com/)
14:38:06	192197/192197	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:08%20GMT	https://demo.tailadmin.com/task-list	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/task-list.html	(from https://demo.tailadmin.com/)
14:38:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:08%20GMT	https://demo.tailadmin.com/task-kanban.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/task-kanban.html	(from https://demo.tailadmin.com/)
14:38:06	192580/192580	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:08%20GMT	https://demo.tailadmin.com/task-kanban	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/task-kanban.html	(from https://demo.tailadmin.com/)
14:38:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:08%20GMT	https://demo.tailadmin.com/form-elements.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/form-elements.html	(from https://demo.tailadmin.com/)
14:38:07	160131/160131	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:09%20GMT	https://demo.tailadmin.com/form-elements	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/form-elements.html	(from https://demo.tailadmin.com/)
14:38:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:09%20GMT	https://demo.tailadmin.com/pro-form-elements.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-form-elements.html	(from https://demo.tailadmin.com/)
14:38:08	119498/119498	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:09%20GMT	https://demo.tailadmin.com/pro-form-elements	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-form-elements.html	(from https://demo.tailadmin.com/)
14:38:08	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:10%20GMT	https://demo.tailadmin.com/form-layout.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/form-layout.html	(from https://demo.tailadmin.com/)
14:38:08	131695/131695	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:10%20GMT	https://demo.tailadmin.com/form-layout	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/form-layout.html	(from https://demo.tailadmin.com/)
14:38:08	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:10%20GMT	https://demo.tailadmin.com/pro-form-layout.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-form-layout.html	(from https://demo.tailadmin.com/)
14:38:09	144926/144926	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:11%20GMT	https://demo.tailadmin.com/pro-form-layout	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-form-layout.html	(from https://demo.tailadmin.com/)
14:38:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:11%20GMT	https://demo.tailadmin.com/tables.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/tables.html	(from https://demo.tailadmin.com/)
14:38:09	152562/152562	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:11%20GMT	https://demo.tailadmin.com/tables	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/tables.html	(from https://demo.tailadmin.com/)
14:38:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:11%20GMT	https://demo.tailadmin.com/pro-tables.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-tables.html	(from https://demo.tailadmin.com/)
14:38:10	136571/136571	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:12%20GMT	https://demo.tailadmin.com/pro-tables	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pro-tables.html	(from https://demo.tailadmin.com/)
14:38:10	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:12%20GMT	https://demo.tailadmin.com/settings.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/settings.html	(from https://demo.tailadmin.com/)
14:38:10	135103/135103	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:12%20GMT	https://demo.tailadmin.com/settings	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/settings.html	(from https://demo.tailadmin.com/)
14:38:10	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:12%20GMT	https://demo.tailadmin.com/file-manager.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/file-manager.html	(from https://demo.tailadmin.com/)
14:38:11	156238/156238	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:13%20GMT	https://demo.tailadmin.com/file-manager	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/file-manager.html	(from https://demo.tailadmin.com/)
14:38:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:13%20GMT	https://demo.tailadmin.com/data-tables.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/data-tables.html	(from https://demo.tailadmin.com/)
14:38:12	152102/152102	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:13%20GMT	https://demo.tailadmin.com/data-tables	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/data-tables.html	(from https://demo.tailadmin.com/)
14:38:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:14%20GMT	https://demo.tailadmin.com/pricing-tables.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pricing-tables.html	(from https://demo.tailadmin.com/)
14:38:12	151818/151818	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:14%20GMT	https://demo.tailadmin.com/pricing-tables	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pricing-tables.html	(from https://demo.tailadmin.com/)
14:38:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:14%20GMT	https://demo.tailadmin.com/error-page.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/error-page.html	(from https://demo.tailadmin.com/)
14:38:13	116913/116913	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:15%20GMT	https://demo.tailadmin.com/error-page	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/error-page.html	(from https://demo.tailadmin.com/)
14:38:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:15%20GMT	https://demo.tailadmin.com/faq.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/faq.html	(from https://demo.tailadmin.com/)
14:38:13	130128/130128	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:15%20GMT	https://demo.tailadmin.com/faq	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/faq.html	(from https://demo.tailadmin.com/)
14:38:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:15%20GMT	https://demo.tailadmin.com/team.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/team.html	(from https://demo.tailadmin.com/)
14:38:14	308339/308339	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:16%20GMT	https://demo.tailadmin.com/team	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/team.html	(from https://demo.tailadmin.com/)
14:38:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:16%20GMT	https://demo.tailadmin.com/terms-conditions.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/terms-conditions.html	(from https://demo.tailadmin.com/)
14:38:15	119976/119976	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:16%20GMT	https://demo.tailadmin.com/terms-conditions	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/terms-conditions.html	(from https://demo.tailadmin.com/)
14:38:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:17%20GMT	https://demo.tailadmin.com/mail-success.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/mail-success.html	(from https://demo.tailadmin.com/)
14:38:15	116948/116948	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:17%20GMT	https://demo.tailadmin.com/mail-success	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/mail-success.html	(from https://demo.tailadmin.com/)
14:38:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:17%20GMT	https://demo.tailadmin.com/messages.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/messages.html	(from https://demo.tailadmin.com/)
14:38:16	145432/145432	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:18%20GMT	https://demo.tailadmin.com/messages	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/messages.html	(from https://demo.tailadmin.com/)
14:38:16	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:18%20GMT	https://demo.tailadmin.com/inbox.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/inbox.html	(from https://demo.tailadmin.com/)
14:38:16	176071/176071	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:18%20GMT	https://demo.tailadmin.com/inbox	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/inbox.html	(from https://demo.tailadmin.com/)
14:38:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:18%20GMT	https://demo.tailadmin.com/invoice.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/invoice.html	(from https://demo.tailadmin.com/)
14:38:17	143622/143622	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:19%20GMT	https://demo.tailadmin.com/invoice	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/invoice.html	(from https://demo.tailadmin.com/)
14:38:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:19%20GMT	https://demo.tailadmin.com/basic-chart.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/basic-chart.html	(from https://demo.tailadmin.com/)
14:38:17	124403/124403	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:19%20GMT	https://demo.tailadmin.com/basic-chart	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/basic-chart.html	(from https://demo.tailadmin.com/)
14:38:17	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:19%20GMT	https://demo.tailadmin.com/advanced-chart.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/advanced-chart.html	(from https://demo.tailadmin.com/)
14:38:17	133829/133829	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:19%20GMT	https://demo.tailadmin.com/advanced-chart	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/advanced-chart.html	(from https://demo.tailadmin.com/)
14:38:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:20%20GMT	https://demo.tailadmin.com/accordion.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/accordion.html	(from https://demo.tailadmin.com/)
14:38:18	147103/147103	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:20%20GMT	https://demo.tailadmin.com/accordion	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/accordion.html	(from https://demo.tailadmin.com/)
14:38:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:20%20GMT	https://demo.tailadmin.com/alerts.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/alerts.html	(from https://demo.tailadmin.com/)
14:38:19	121142/121142	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:21%20GMT	https://demo.tailadmin.com/alerts	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/alerts.html	(from https://demo.tailadmin.com/)
14:38:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:21%20GMT	https://demo.tailadmin.com/avatars.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/avatars.html	(from https://demo.tailadmin.com/)
14:38:19	118367/118367	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:21%20GMT	https://demo.tailadmin.com/avatars	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/avatars.html	(from https://demo.tailadmin.com/)
14:38:19	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:21%20GMT	https://demo.tailadmin.com/badge.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/badge.html	(from https://demo.tailadmin.com/)
14:38:20	126247/126247	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:22%20GMT	https://demo.tailadmin.com/badge	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/badge.html	(from https://demo.tailadmin.com/)
14:38:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:22%20GMT	https://demo.tailadmin.com/breadcrumb.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/breadcrumb.html	(from https://demo.tailadmin.com/)
14:38:22	134679/134679	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:24%20GMT	https://demo.tailadmin.com/breadcrumb	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/breadcrumb.html	(from https://demo.tailadmin.com/)
14:38:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:24%20GMT	https://demo.tailadmin.com/buttons.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/buttons.html	(from https://demo.tailadmin.com/)
14:38:22	164318/164318	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:24%20GMT	https://demo.tailadmin.com/buttons	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/buttons.html	(from https://demo.tailadmin.com/)
14:38:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:24%20GMT	https://demo.tailadmin.com/buttons-group.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/buttons-group.html	(from https://demo.tailadmin.com/)
14:38:23	147408/147408	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:24%20GMT	https://demo.tailadmin.com/buttons-group	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/buttons-group.html	(from https://demo.tailadmin.com/)
14:38:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:25%20GMT	https://demo.tailadmin.com/cards.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/cards.html	(from https://demo.tailadmin.com/)
14:38:23	123917/123917	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:25%20GMT	https://demo.tailadmin.com/cards	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/cards.html	(from https://demo.tailadmin.com/)
14:38:23	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:25%20GMT	https://demo.tailadmin.com/carousel.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/carousel.html	(from https://demo.tailadmin.com/)
14:38:24	122935/122935	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:26%20GMT	https://demo.tailadmin.com/carousel	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/carousel.html	(from https://demo.tailadmin.com/)
14:38:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:26%20GMT	https://demo.tailadmin.com/dropdowns.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/dropdowns.html	(from https://demo.tailadmin.com/)
14:38:25	129497/129497	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:26%20GMT	https://demo.tailadmin.com/dropdowns	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/dropdowns.html	(from https://demo.tailadmin.com/)
14:38:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:27%20GMT	https://demo.tailadmin.com/images.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/images.html	(from https://demo.tailadmin.com/)
14:38:25	116921/116921	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:27%20GMT	https://demo.tailadmin.com/images	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/images.html	(from https://demo.tailadmin.com/)
14:38:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:27%20GMT	https://demo.tailadmin.com/list.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/list.html	(from https://demo.tailadmin.com/)
14:38:26	146541/146541	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:28%20GMT	https://demo.tailadmin.com/list	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/list.html	(from https://demo.tailadmin.com/)
14:38:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:28%20GMT	https://demo.tailadmin.com/modals.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/modals.html	(from https://demo.tailadmin.com/)
14:38:27	123701/123701	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:29%20GMT	https://demo.tailadmin.com/modals	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/modals.html	(from https://demo.tailadmin.com/)
14:38:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:29%20GMT	https://demo.tailadmin.com/notifications.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/notifications.html	(from https://demo.tailadmin.com/)
14:38:27	140624/140624	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:29%20GMT	https://demo.tailadmin.com/notifications	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/notifications.html	(from https://demo.tailadmin.com/)
14:38:27	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:29%20GMT	https://demo.tailadmin.com/pagination.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pagination.html	(from https://demo.tailadmin.com/)
14:38:28	129848/129848	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:30%20GMT	https://demo.tailadmin.com/pagination	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/pagination.html	(from https://demo.tailadmin.com/)
14:38:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:30%20GMT	https://demo.tailadmin.com/popovers.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/popovers.html	(from https://demo.tailadmin.com/)
14:38:28	127152/127152	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:30%20GMT	https://demo.tailadmin.com/popovers	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/popovers.html	(from https://demo.tailadmin.com/)
14:38:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:30%20GMT	https://demo.tailadmin.com/progress.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/progress.html	(from https://demo.tailadmin.com/)
14:38:29	124026/124026	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2007:38:31%20GMT	https://demo.tailadmin.com/progress	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/progress.html	(from https://demo.tailadmin.com/)
14:38:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Wed,%2029%20Jan%202025%2007:38:31%20GMT	https://demo.tailadmin.com/spinners.html	C:/bahan%20project/dashboard-admin-tailwind/demo.tailadmin.com/spinners.html	(from https://demo.tailadmin.com/)
